Symbol_1,periodOfReport,employeeCount
III.L,,
ABE.MC,,
ABM,2024-10-31,117000
ABT,2023-12-31,114000
ADN.L,,
A2A.MI,,
BGA.JO,,
ACC.BO,,
ANA.MC,,
AC.PA,,
ACX.MC,,
ADP.PA,,
ADM.L,,
unknown,,
AIP.JO,,
ADEN.SW,,
AGN.AS,,
AGS.L,,
8267.T,,
ABBN.SW,,
MMM,2024-12-31,61500
ANF,2024-02-03,31700
ACE.MI,,
ADBE,2024-11-29,30709
AMD,2024-12-28,28000
GETI4.SA,,
AET,,
AFL,2023-12-31,12785
AXL.JO,,
ARI.JO,,
A,2024-10-31,17900
2802.T,,
AHL1V.HE,,
AC.TO,,
AF.PA,,
AI.PA,,
AIR.NZ,,
APD,2024-09-30,23000
ALU.PA,,
AKBNK.IS,,
AKAM,2022-12-31,9800
AKZA.AS,,
AA,2023-12-31,13600
AGN,,
ALN1V.HE,,
AOI,,
ATST.L,,
ALL,2023-12-31,53000
ALV.DE,,
AEL.JO,,
ALBK.L,,
AWC.AX,,
ALO.PA,,
AOX.DE,,
MO,2023-12-31,6400
1154Z,,
AMEAS.HE,,
AAL,2023-12-31,132100
AEE,2023-12-31,0
AMC.AX,,
AMFW.L,,
AXP,2024-12-31,75100
AMGN,2024-12-31,200000
AML.L,,
AMP.AX,,
APC,,
AAL.L,,
AMS.JO,,
ANG.JO,,
APA.AX,,
STS.MI,,
ANTO.L,,
AON,2023-12-31,50000
ATR,2024-12-31,13500
ARCAD.AS,,
ACL.JO,,
ARX.TO,,
MT.AS,,
ARM.L,,
2502.T,,
5201.T,,
3407.T,,
4503.T,,
APN.JO,,
G.MI,,
ATK.L,,
AZN.L,,
2357.TW,,
ASX.AX,,
T,2024-12-31,140990
ATEA.OL,,
ATL.MI,,
ATCO-A.ST,,
ATO.PA,,
ATA.TO,,
2409.TW,,
AIA.NZ,,
ANZ.AX,,
AMS.SW,,
ADSK,2024-01-31,14100
ADP,2024-06-30,64000
3414924Q,,
AEG.JO,,
AVY,2023-12-30,35000
AV.L,,
AVP,,
CS.PA,,
SPR.DE,,
AXFO.ST,,
BBY.L,,
BA.L,,
BHGE,,
BES.LS,,
BMPS.MI,,
BBDC3.SA,,
BCP.LS,,
BBAS3.SA,,
GALI,,
BMO.TO,,
SAB.MC,,
BO.CO,,
POP.MC,,
SAN.MC,,
BAC,2023-12-31,213000
BCVN.SW,,
BK,2022-12-31,51700
BNS.TO,,
BKT.MC,,
BARC.L,,
BAS.DE,,
BAW.JO,,
BLKB.SW,,
BSKP.SW,,
BAX,2023-12-31,60000
BAYN.DE,,
BBVA.MC,,
BCE.TO,,
BEZ.L,,
BDX,2024-09-30,74000
BEKN.SW,,
PROX.BR,,
BEN.AX,,
BBY,2024-02-03,85000
BG/.L,,
BHP.AX,,
BB.PA,,
BIIB,2024-12-31,200000
BNP.PA,,
BMW.DE,,
BON.PA,,
BA,2024-12-31,58000
BOL.ST,,
1015Z.L,,
BP.L,,
EN.PA,,
BVS.L,,
BRKM3.SA,,
BMY,2024-12-31,34100
8179618Q.L,,
BATS.L,,
BLND.L,,
SKY.L,,
BRCM,,
BR,2024-06-30,14600
BAM-A.TO,,
BF-A,2024-04-30,5700
BT-A.L,,
BNZL.L,,
BRBY.L,,
BWP.AX,,
BVI.PA,,
BZU.MI,,
CA,,
GCC.L,,
CNE.L,,
CXGD.LS,,
CPB,2024-07-28,14400
CNR.TO,,
CP.TO,,
CTC.TO,,
CM.TO,,
7751.T,,
COF,2023-12-31,51987
CAP.PA,,
3091Z,,
CAH,2024-06-30,48900
CLLN.L,,
CCL,2024-11-30,160000
CA.PA,,
CBG,,
CO.PA,,
6952.T,,
CYT.TO,,
0293.HK,,
CGL.L,,
CCL-A.TO,,
CELG,2018-12-31,8852
CEMEXCPO.MX,,
CNP,2023-12-31,0
ELET6.SA,,
CLSC4.SA,,
CNA.L,,
CEQ.OL,,
NVN.AX,,
028260.KS,,
CVX,2023-12-31,45600
3481.TW,,
2002.TW,,
CMIG3.SA,,
CESP3.SA,,
PCAR3.SA,,
2412.TW,,
CSCO,2024-07-27,90400
CIE.MC,,
CIEN,2024-11-02,8657
CI,2023-12-31,72500
C,2023-12-31,239000
CIT,2020-12-31,4500
CLN.SW,,
CLASB.ST,,
0002.HK,,
CLX,2024-06-30,8000
CU.PA,,
COB.L,,
CMS,2024-12-31,0
CNP.PA,,
CL,2024-12-31,34000
CCL.AX,,
COLBUN.SN,,
KO,2023-12-31,79100
CCE,,
CCA.TO,,
CTSH,2024-12-31,336800
CBK.DE,,
COLOB.CO,,
COLT.L,,
CMA,2022-12-31,7280
CCRO3.SA,,
CBA.AX,,
2324.TW,,
CFR.SW,,
CPWR,2023-12-31,2
SBSP3.SA,,
CAG,2024-05-26,18500
COP,2023-12-31,9900
CNX,2024-12-31,458
ED,2023-12-31,14592
STZ,2024-02-29,10600
CON.DE,,
5021.T,,
CPFE3.SA,,
CWK.L,,
CSGN.SW,,
CVAL.MI,,
ACA.PA,,
CSL.AX,,
CRST.L,,
CRH.L,,
CABK.MC,,
CWN.AX,,
CRDA.L,,
CY,,
CSX,2023-12-31,23000
CMI,2024-12-31,69600
CVS,2024-12-31,300000
047040.KS,,
000210.KS,,
006800.KS,,
7912.T,,
4202.T,,
6367.T,,
4568.T,,
DAI.DE,,
DCG.L,,
1925.T,,
BN.PA,,
DANSKE.CO,,
DRI,2024-05-26,191105
8163.TW,,
DE,2024-10-27,75847
DCC.L,,
DLAR.L,,
DF,,
DLPH,,
DAL,2024-12-31,103000
DELL,2024-02-02,120000
191738Z,,
4324.T,,
DLN.L,,
DXS.AX,,
DBK.DE,,
DB11,,
DPB.DE,,
DPW.DE,,
DTE.DE,,
DVN,2023-12-31,1900
DGE.L,,
DIGI.KL,,
DTV,,
DSY.JO,,
DNO.OL,,
DST.JO,,
DOW,2024-12-31,36000
DOM.L,,
005830.KS,,
042670.KS,,
034020.KS,,
5714.T,,
DPS,,
DOW.AX,,
DTE,2024-12-31,9500
GEPA4.SA,,
DTEX3.SA,,
EOAN.DE,,
DD,2024-12-31,24000
ECL,2023-12-31,48000
KODK,2023-12-31,4000
ETN,2023-12-31,94000
EBAY,2023-12-31,12300
ENBR3.SA,,
EDP.LS,,
ECM.L,,
ELUXB.ST,,
EKTA-B.ST,,
EKO.OL,,
EDF.PA,,
LLY,2023-12-31,43000
EMBR3.SA,,
EMC,,
ELISA.HE,,
ELT.OL,,
2331.TW,,
ENG.MC,,
EMA.TO,,
EHL.AX,,
EMI.JO,,
EBK.DE,,
ECA.TO,,
ENEL.MI,,
ENB.TO,,
ELE.MC,,
ERF.TO,,
ENI.MI,,
ETR,2023-12-31,12177
ERIC-B.ST,,
EBS,2023-12-31,1600
0988125D,,
ESOIL.BO,,
EI.PA,,
EL,2024-06-30,1430
ERM.L,,
EVN,,
EXC,2024-12-31,104
XOM,2023-12-31,61500
EXX.JO,,
FITB,2023-12-31,18724
FDX,2024-05-31,241000
FER.MC,,
FCAU,,
LDO.MI,,
FIA1S.HE,,
FTT.TO,,
ESNT.L,,
FGP.L,,
FCR.TO,,
FSLR,2023-12-31,6700
FSR.JO,,
FBU.NZ,,
FLS.CO,,
FLR,2023-12-31,20340
7947.T,,
BEN,2024-09-30,10200
FRA.DE,,
ORA.PA,,
FOE.OL,,
FRES.L,,
6504.T,,
5803.T,,
7270.T,,
FUXRZ.T,,
4901.T,,
6702.T,,
5801.T,,
VIFN.SW,,
GFS.L,,
GALP.LS,,
GPS,2024-02-03,85000
4449001Z.L,,
GAS.MC,,
GTO.AS,,
GEBN.SW,,
ENGI.PA,,
GFC.PA,,
GIS,2024-05-26,34000
GM,2024-12-31,90000
GE,2024-12-31,53000
GNW,2023-12-31,2700
GF.SW,,
WN.TO,,
GIVN.SW,,
GXI.DE,,
GETI-B.ST,,
GSK.L,,
GOG.L,,
GFI.JO,,
G.TO,,
GS,2023-12-31,45300
GOOG,2024-12-31,183323
GT,2024-12-31,68000
UNLS,,
GRI.L,,
GPOR.L,,
GNK.L,,
RIA.PA,,
GRT.JO,,
GRF.MC,,
GND.JO,,
GRF.JO,,
GET.PA,,
AIM.TO,,
006360.KS,,
HMB.ST,,
HAL,2024-12-31,48000
HLMA.L,,
HHFA.DE,,
HNA.OL,,
161390.KS,,
117930.KS,,
HNR1.DE,,
HAR.JO,,
HAV.PA,,
HIG,2022-12-31,18800
HAS,2022-12-25,6490
HAS.L,,
HCLT.BO,,
HDFCB.BO,,
HTO.AT,,
HEI.DE,,
HEIA.AS,,
JHG.L,,
HEN3.DE,,
HER.MI,,
HELN.SW,,
HES,2023-12-31,1756
HIK.L,,
6305.T,,
6501.T,,
4217.T,,
HZ.BO,,
HSX.L,,
HOT.DE,,
HOLM-B.ST,,
LHN.SW,,
HD,2024-01-28,463100
HCI.JO,,
HOME.L,,
011170.KS,,
0006.HK,,
7267.T,,
.0044HK,,
HSP,,
HST,2023-12-31,163
HSBA.L,,
HUBN.SW,,
HLM.JO,,
HUM,2023-12-31,67600
000660.KS,,
000720.KS,,
IBE.MC,,
005380.KS,,
001450.KS,,
011200.KS,,
012330.KS,,
004020.KS,,
4062.T,,
ICAD.PA,,
WCN.TO,,
IMP.JO,,
IEM.L,,
NK.PA,,
7013.T,,
ILV.JO,,
IPL.JO,,
IMB.L,,
IDR.MC,,
ITX.MC,,
INGA.AS,,
IAG.TO,,
INH.DE,,
024110.KS,,
INDUA.ST,,
IFN.AX,,
INFO.BO,,
IDFC.BO,,
IOF.AX,,
IR,2023-12-31,18000
IMN.TO,,
1605.T,,
ICP.L,,
IBM,2023-12-31,282200
INTC,2024-12-28,108900
IFC.TO,,
IAG.AX,,
IVZ,2023-12-31,8500
IFF,2023-12-31,21500
IP,2023-12-31,39000
ISP.MI,,
INTU,2024-07-31,18800
INVEA.ST,,
IVC.AX,,
IPS.PA,,
ISAGEN,,
ITE.L,,
ITC.BO,,
ISS.CO,,
IT.MI,,
ITSA4.SA,,
ITUB3.SA,,
JBL,2024-08-31,138000
JBSS3.SA,,
VIAV,2024-06-29,3600
JMT.LS,,
JM.ST,,
JMAT.L,,
JNJ,2024-12-29,138100
JLL,2023-12-31,106
JSE.JO,,
JPM,2024-12-31,317233
JNPR,2023-12-31,11144
4452.T,,
1812.T,,
105560.KS,,
9107.T,,
7012.T,,
9433.T,,
002380.KS,,
K,2023-12-30,23000
KEMIRA.HE,,
0273412D.TO,,
KIE.L,,
KESAV.HE,,
KEY,2023-12-31,17333
2503.T,,
KIM,2023-12-31,660
KMB,2024-12-31,38000
KGF.L,,
K.TO,,
9041.T,,
5406.T,,
KPG.NZ,,
KLBN4.SA,,
LI.PA,,
1012Z.OL,,
KSS,2024-02-03,2023
7984.T,,
6301.T,,
KNEBV.HE,,
KOG.OL,,
4902.T,,
KBC.DE,,
KRFT,,
3405.T,,
KRN.DE,,
030200.KS,,
033780.KS,,
KNIN.SW,,
6326.T,,
KIO.JO,,
OR.PA,,
LG.PA,,
LAND.L,,
LXS.DE,,
LT.BO,,
LAT1V.HE,,
LVS,2024-12-31,40300
NOT,,
LR.PA,,
LM,,
CIM.AX,,
LEM1S.HE,,
LGEN.L,,
LSG.OL,,
LBH.JO,,
LEVI,2024-12-01,18700
LXK,,
051910.KS,,
066570.KS,,
051900.KS,,
LIGT3.SA,,
1255459D,,
LB,,
6955017Z.L,,
0823.HK,,
4912.T,,
LLOY.L,,
2301.TW,,
LREN3.SA,,
LMT,2024-12-31,121000
LSE.L,,
LMI.L,,
LOW,2024-02-02,168000
LSI,2022-12-31,2508
LUN.CO,,
LUPE.ST,,
MC.PA,,
MM.BO,,
MOL.BD,,
MAY.KL,,
MAN.DE,,
MKS.L,,
MAR,2024-12-31,155000
MFC.TO,,
MAP.MC,,
MRFG3.SA,,
MHG.OL,,
4614Z,,
MMC,2024-12-31,0
MSLH.L,,
MRVL,2024-02-03,6577
MAS,2024-12-31,18000
MSM.JO,,
7261.T,,
MAT,2023-12-31,33000
MCB.L,,
SPGI,2024-12-31,42350
MWV,,
MEDAA.ST,,
MDC.JO,,
MB.MI,,
MDT,2024-04-26,35000
MRK.DE,,
MRK,2023-12-31,72000
CEC.DE,,
MTS.AX,,
MMI.JO,,
METSO.HE,,
MSFT,2024-06-30,228000
MLC.L,,
MIC.ST,,
037620.KS,,
MGR.AX,,
7011.T,,
MTO.L,,
5711.T,,
4188.T,,
6503.T,,
4183.T,,
8306.T,,
8411.T,,
9104.T,,
MON,2021-12-31,5
MOL,,
TAP,2023-12-31,16500
MTGA.ST,,
MN.MI,,
0133220D,,
MND.AX,,
MNDI.L,,
MRW.L,,
MOS,2023-12-31,14049
MGAM.L,,
MGNS.L,,
MS,2023-12-31,80000
MTN.JO,,
0066.HK,,
MGPI,2023-12-31,705
6981.T,,
MUV2.DE,,
MUR.JO,,
9044.T,,
NPK.JO,,
NDAQ,2023-12-31,8525
ETE.AT,,
8367.T,,
NAB.AX,,
NA.TO,,
NEX.L,,
NG.L,,
NCCA.ST,,
NATU3.SA,,
6701.T,,
NED.JO,,
NESTE.HE,,
NESN.SW,,
NTC.JO,,
NTAP,2024-04-26,11800
CLS.JO,,
NCM.AX,,
NEM,2023-12-31,21700
FOX,2024-06-30,10200
NHH.MC,,
NXI.PA,,
7731.T,,
9432.T,,
NI,2024-12-31,7687
4612.T,,
9101.T,,
7240.T,,
8604.T,,
NOKIA.HE,,
7201.T,,
6988.T,,
3105.T,,
NKT.CO,,
NOBI.ST,,
NDA.ST,,
NSC,2024-12-31,20200
NDX1.DE,,
NHM.JO,,
ES,2024-12-31,10680
NTRS,2023-12-31,23100
NOC,2024-12-31,97000
NPRO.OL,,
NOVOB.CO,,
NZYMB.CO,,
NOVN.SW,,
NVTK,,
NRG,2023-12-31,18131
6471.T,,
9613.T,,
9437.T,,
6472.T,,
8933.T,,
NVDA,2024-01-28,29600
1802.T,,
0686576D,,
OHL.MC,,
ODPV3.SA,,
ODF.OL,,
POST,2024-09-30,11480
OML.L,,
7733.T,,
OMV,,
ARI.AX,,
OMC,2024-12-31,74900
6645.T,,
ST,2023-12-31,0
1272705D.TO,,
ORCL,2024-05-31,159000
9532.T,,
ORK.OL,,
ORA,2023-12-31,1576
ORI.ST,,
8591.T,,
OUT1V.HE,,
OTE1V.HE,,
2343.HK,,
OC,2023-12-31,18000
PNA.AX,,
6752.T,,
PWTN.SW,,
PGHN.SW,,
PH,2024-06-30,61120
1615842Z.L,,
IGTE,,
PEABB.ST,,
PSON.L,,
PGF.TO,,
PNN.L,,
OBE.TO,,
RI.PA,,
POM,,
PPT.AX,,
PKI,2023-12-31,11500
PEP,2024-12-28,319000
PSN.L,,
PGS.OL,,
PETR3.SA,,
PCG,2024-12-31,28400
PFE,2023-12-31,88000
PHIA.AS,,
PM,2024-12-31,83100
PIK.JO,,
6773.T,,
PC.MI,,
PBI,2023-12-31,10500
PNC,2023-12-31,54813
PCL,,
PSSA3.SA,,
005490.KS,,
KER.PA,,
PHR.LS,,
PX,2023-12-31,252
PFL.L,,
PPC.JO,,
PMO.L,,
PFG,2023-12-31,19800
PLD,2024-12-31,1800
PFG.L,,
PSPN.SW,,
PTTEP.BK,,
PTT.BK,,
PRU,2024-12-31,161
QQ.L,,
PUB.PA,,
QAN.AX,,
PUM.DE,,
QCE.DE,,
QBE.AX,,
2352.TW,,
DGX,2023-12-31,48000
REE,2023-12-31,244
RAK.NZ,,
RBI,,
RRS.L,,
RAT.L,,
RTN,,
RDF.JO,,
RKT.L,,
REL.L,,
RNO.PA,,
REM.JO,,
RENE.LS,,
3941.T,,
RSW.L,,
REP.MC,,
BB.TO,,
RTO.L,,
RLO.JO,,
7752.T,,
0161814Z,,
RBA.TO,,
RIO.AX,,
5947.T,,
ROG.SW,,
COL,,
ROCKB.CO,,
ROK,2024-09-30,27000
RCI-B.TO,,
RR.L,,
RCL,2024-12-31,106000
RBS.L,,
RY.TO,,
RSA.L,,
KPN.AS,,
RDSA.L,,
RWE.DE,,
RUS.TO,,
SK.PA,,
R,2024-12-31,50700
SAABB.ST,,
SGO.PA,,
CRM,2024-01-31,72682
010140.KS,,
000830.KS,,
028050.KS,,
000810.KS,,
005930.KS,,
009150.KS,,
006400.KS,,
012450.KS,,
SNDK,,
SAP.JO,,
2501.T,,
SAN.PA,,
STO.AX,,
SNT.JO,,
SAP.DE,,
SCAB.ST,,
SAS.ST,,
SOL.JO,,
SCS.BO,,
SVS.L,,
SCVB.ST,,
SLB,2024-12-31,110000
SU.PA,,
SCHA.OL,,
SDR.L,,
SSE.L,,
SCC.TO,,
STX,2024-06-28,30000
SECUB.ST,,
SGRO.L,,
4204.T,,
1928.T,,
SRE,2023-12-31,4774
6724.T,,
SRP.L,,
SESG.PA,,
SVT.L,,
3382.T,,
VEDL.BO,,
8410.T,,
SGSN.SW,,
SHB.L,,
6753.T,,
1803.T,,
4063.T,,
SHW,2023-12-31,64088
4911.T,,
055550.KS,,
SIAL,,
SRCM.BO,,
SIE.DE,,
SIK.SW,,
2325.TW,,
SHI.L,,
SPG,2023-12-31,3000
017670.KS,,
SKAB.ST,,
SNC.TO,,
SN.L,,
SRG.MI,,
SKG.L,,
SOLB.BR,,
GLE.PA,,
SW.PA,,
SWVK.DE,,
SOLARB.CO,,
010950.KS,,
MEL.MC,,
SON.LS,,
SNC.LS,,
6758.T,,
SOON.SW,,
8630.T,,
LUV,2024-12-31,72450
SE,2023-12-31,62700
S,2024-01-31,2300
SDY.L,,
SL/.L,,
STAN.L,,
STJ.L,,
SGC.L,,
SBK.JO,,
SBUX,2024-09-29,361000
HOT,,
SPLS,,
SWK,2023-12-30,50500
STN.TO,,
STT,2024-12-31,53000
SGP.AX,,
STLT.BO,,
SCS,2024-02-23,11300
STB.OL,,
STMN.SW,,
8053.T,,
SEV.PA,,
4005.T,,
SUN.SW,,
5802.T,,
SLF.TO,,
5110.T,,
5713.T,,
1911.T,,
6302.T,,
SU.TO,,
SDL.AX,,
0019.HK,,
SHBA.ST,,
SWEDA.ST,,
SWMA.ST,,
SYR.L,,
SREN.SW,,
SLHN.SW,,
SCMN.SW,,
SYMC,,
SY1.DE,,
SYNN.SW,,
SYY,2024-06-29,76000
TROW,2024-12-31,7906
1801.T,,
2330.TW,,
TPWR.BO,,
TCS.BO,,
TTCH.BO,,
TLV1V.HE,,
4502.T,,
TGT,2024-02-03,415000
TATA.BO,,
TATE.L,,
TW.L,,
TDC.CO,,
TECHM.BO,,
TRE.MC,,
TEKNF,,
SPK.NZ,,
3401.T,,
TEF.MC,,
TLAB,,
TELIA.ST,,
TKA,,
TEL.OL,,
TKG.JO,,
TLS.AX,,
T.TO,,
TER,,
TSCO.L,,
TRN.MI,,
HO.PA,,
HSY,,
SPP.JO,,
WBC.AX,,
TIMP3.SA,,
TRI.TO,,
TKA.DE,,
TCH.PA,,
TBS.JO,,
TWX,,
TJX,,
X.TO,,
1860.T,,
TNTE.AS,,
3289.T,,
TOL.AX,,
8035.T,,
8766.T,,
9531.T,,
6502.T,,
TOM.OL,,
TON.JO,,
TOP.CO,,
7911.T,,
TD.TO,,
3402.T,,
FP.PA,,
5332.T,,
3101.T,,
6201.T,,
7203.T,,
TRP.TO,,
TCL-A.TO,,
TPK.L,,
TNI.L,,
TCW.TO,,
TRELB.ST,,
4540.T,,
TRU.JO,,
TRYG.CO,,
UBI.MI,,
UAL,2023-12-31,103300
TT/.L,,
USB,2023-12-31,75465
TUI.L,,
UL.PA,,
8113.T,,
UCG.MI,,
UIS,2023-12-31,16500
ULVR.L,,
UTG.L,,
UNP,2024-12-31,32439
UNI.MI,,
UU.L,,
UNH,2022-12-31,400000
UTX,,
UBM.L,,
2303.TW,,
UPS,2023-12-31,500000
X,2024-12-31,123000
UNM,2023-12-31,10812
VALE3.SA,,
VK.PA,,
VIE.PA,,
VER,2020-12-31,160
VED.L,,
VEI.OL,,
VZ,2024-12-31,99600
VWS.CO,,
VID.MC,,
DG.PA,,
2588Z.L,,
VC,2023-12-31,10000
VONN.SW,,
VOW3.DE,,
VOD.L,,
VIV.PA,,
WALMEX*.MX,,
VWR,,
WCH.DE,,
DIS,2024-09-28,233000
WMT,2024-01-31,2100000
WRT1V.HE,,
WHS.NZ,,
WM,2023-12-31,48000
WFT,,
WAT,2023-12-31,7900
WEGE3.SA,,
WEIR.L,,
WFC,2023-12-31,226000
WHA.AS,,
WES.AX,,
ANTM,,
9021.T,,
SMWH.L,,
WY,2024-12-31,9440
WFD.AX,,
WHR,2024-12-31,44000
WTB.L,,
1415258Z.L,,
WFM,,
WOS.L,,
WKL.AS,,
WBO.JO,,
WPRO.BO,,
WPL.AX,,
WHL.JO,,
WOW.AX,,
WPP.L,,
WKP.L,,
8176888Z,,
0321382Z,,
XRX,2023-12-31,20100
XEL,2023-12-31,11311
XCH.L,,
WSP.TO,,
WYN,,
6845.T,,
7951.T,,
YRI.TO,,
AABA,,
YUM,2023-12-31,35000
YES.BO,,
5101.T,,
AKENR.IS,,
CCOLA.IS,,
GARAN.IS,,
HALKB.IS,,
TSKB.IS,,
VESTL.IS,,
011070.KS,,
108670.KS,,
ACN,2024-08-31,774000
CB,2023-12-31,40000
6770.T,,
DOX,2024-09-30,6000
ADS.DE,,
3231.TW,,
OLAM,,
NOBL,,
0992.HK,,
1402.TW,,
MQG.AX,,
CHC.AX,,
AQP.AX,,
OIBR3.SA,,
FIBR3.SA,,
BRML3.SA,,
CSMG3.SA,,
2382.TW,,
TECK-A.TO,,
DNB.OL,,
CPLE3.SA,,
021240.KS,,
3044.TW,,
AIR.PA,,
TCG.L,,
BWNG.L,,
2356.TW,,
BKG.L,,
RPS.L,,
1206031Z.L,,
COST.L,,
LIN.DE,,
DLG.DE,,
CWC.DE,,
5AB.DE,,
IIB.BO,,
6268.T,,
TED.L,,
9513.T,,
010120.KS,,
2579.T,,
METSB.HE,,
KLED.ST,,
KBHL.CO,,
ICL.TA,,
ABI.BR,,
SJM,2024-04-30,100
JEC,,
DOF.OL,,
DNORD.CO,,
JCP,,
IRM,2024-12-31,11150
BILL.ST,,
UBSN.SW,,
IHG.L,,
006120.KS,,
CONCHA.SN,,
PFC.L,,
WALLB.ST,,
PIC.L,,
6121.TW,,
BVT.JO,,
UGL.AX,,
DELB.BR,,
CCH.L,,
FR.PA,,
GFNORTEO.MX,,
BVMF3.SA,,
SNR.L,,
SHP.L,,
DUE.DE,,
TTKOM.IS,,
GWW,2023-12-31,26000
WDC,2024-06-28,51000
V,2024-09-30,31600
VFC,2024-03-30,30000
VTR,2024-12-31,498
VAR,,
VOD.JO,,
SLM.JO,,
SGRE.MC,,
TFI.PA,,
BAP,2023-12-31,37074
SEBA.ST,,
HFG.L,,
IRV.L,,
IPF.L,,
HLCL.L,,
STM.MI,,
FWEB.L,,
EXPN.L,,
CIEL3.SA,,
WES.AS,,
HEIJM.AS,,
DSM.AS,,
BANIF.LS,,
BAMNB.AS,,
TIE1V.HE,,
STCAS.HE,,
STERV.HE,,
VAIAS.HE,,
STL.OL,,
SOFF.OL,,
REC.OL,,
NRE1V.HE,,
HCN,,
WG.L,,
SBRY.L,,
HCP,2024-01-31,2200
FCX,2024-12-31,28500
INL.JO,,
OCE.JO,,
561935Z,,
0122952D,,
SON,2023-12-31,23000
0351562D,,
YUNSA.IS,,
MLHR,2024-06-01,10200
0084962D,,
TUPY3.SA,,
EDW.L,,
7672751Z.L,,
300363.SZ,,
SVR,,
7225Z,,
1073704D.L,,
1105106Z.L,,
KCOM.L,,
88030Z.CO,,
CVE.TO,,
1083066Z.L,,
MLS,,
ENOC,,
4471711Z.L,,
5020.T,,
0863739D,,
764144Q,,
5092Z,,
8218497Z,,
0123348D,,
0575318D,,
DELT.TA,,
0303130Z,,
HBI,2024-12-28,41000
3273Z,,
1147007Z.L,,
MTCL.BO,,
1056Z.SW,,
SPWR,2023-01-01,170
0539909D,,
0007073D,,
BICB3.SA,,
RANI4.SA,,
AFB.ST,,
EVRY.OL,,
IRE.MI,,
CHR.CO,,
YNAP.MI,,
RBP.JO,,
TNET.BR,,
COFB.BR,,
BEFB.BR,,
SANB3.SA,,
JUP.L,,
TALK.L,,
XPP.L,,
CTL,,
034730.KS,,
8725.T,,
GRONT.AS,,
JBHT,2023-12-31,34718
071320.KS,,
THI.TO,,
NNB.ST,,
7735.T,,
ATS,2024-03-31,0
MMFS.BO,,
TGBL.BO,,
LULU,2024-01-28,38000
NFX,,
UPM1V.HE,,
MSI,2024-12-31,21000
ABG.MC,,
INTEGRC1,,
SOTL.BO,,
6444.T,,
7379247Z.PA,,
H,2024-12-31,227000
1552993D,,
0178007D,,
3970108Z.CO,,
ITEC3.SA,,
DBRE3.SA,,
2485.TW,,
MBDZ.T,,
BSR.JO,,
8179986Z.SA,,
1485758D.SA,,
LAYN,,
4485043ZUS,,
TILE,2023-01-01,3671
9243917Z,,
0003712D,,
38263Z.SA,,
495294Z.MC,,
