Symbol_1,year,employeeCount
T,2023,149900
T,2022,160700
T,2021,203000
T,2020,230000
T,2019,246000
T,2018,268000
T,2017,252000
T,2016,268000
T,2015,281000
T,2014,253000
T,2013,243000
ADSK,2023,13700
ADSK,2022,12600
ADSK,2021,11500
ADSK,2020,10100
ADSK,2019,9600
ADSK,2018,8800
ADSK,2017,9000
ADSK,2016,9500
ADSK,2015,8823
ADSK,2014,7600
ADSK,2013,7300
ADP,2023,63000
ADP,2022,60000
ADP,2021,56000
ADP,2020,58000
ADP,2019,58000
ADP,2018,57000
ADP,2017,58000
ADP,2016,57000
ADP,2015,55000
ADP,2014,61000
ADP,2013,60000
AVY,2023,35000
AVY,2022,0
AVY,2022,36000
AVY,2021,32000
AVY,2019,30000
AVY,2018,30000
AVY,2017,30000
AVY,2016,0
AVY,2016,0
AVY,2015,25000
AVY,2013,26000
BAC,2023,213000
BAC,2021,208000
BK,2022,51700
BK,2021,0
BK,2020,0
BK,2019,48400
BK,2018,51300
BK,2017,52500
BK,2016,52000
BK,2015,51200
BK,2014,50300
BK,2013,51100
BAX,2023,60000
BAX,2022,60000
BAX,2021,60000
BAX,2020,50000
BAX,2019,50000
BAX,2018,50000
BAX,2017,47000
BAX,2016,48000
BAX,2015,50000
BAX,2014,66000
BAX,2013,61000
BDX,2023,73000
BDX,2022,77000
BDX,2021,75000
BDX,2020,72000
BDX,2019,70093
BDX,2018,76032
BDX,2017,41933
BDX,2016,50928
BDX,2015,49517
BDX,2014,30619
BDX,2013,29979
BBY,2023,90000
BBY,2022,105000
BBY,2021,102000
BBY,2020,125000
BBY,2019,125000
BBY,2018,125000
BBY,2017,125000
BBY,2016,125000
BBY,2015,125000
BBY,2014,140000
BIIB,2022,8725
BIIB,2021,9610
BIIB,2020,9100
BIIB,2019,7400
BIIB,2018,7800
BIIB,2017,7300
BIIB,2016,7400
BIIB,2015,7350
BIIB,2014,7550
BIIB,2013,6850
BA,2023,171000
BA,2022,156000
BA,2021,142000
BA,2020,142000
BA,2019,161100
BA,2018,153000
BA,2017,140800
BA,2016,150500
BA,2015,161400
BA,2014,165500
BA,2013,168400
BMY,2023,34100
BMY,2022,34300
BMY,2021,32200
BMY,2020,30250
BMY,2019,30000
BMY,2018,23300
BMY,2017,23700
BMY,2016,25000
BMY,2015,8500
BMY,2014,8500
BMY,2013,8000
BR,2023,280
BR,2022,280
BR,2021,13704
BR,2020,12000
BR,2019,11000
BR,2018,10000
BR,2017,10000
BR,2016,8000
BR,2015,7400
BR,2014,6700
BR,2013,6400
BF-A,2023,5600
BF-A,2022,5200
BF-A,2021,4700
BF-A,2020,4800
BF-A,2019,4700
BF-A,2018,4800
BF-A,2017,4700
BF-A,2016,4600
BF-A,2015,4400
BF-A,2014,4200
BF-A,2013,4000
CPB,2023,14500
CPB,2022,14700
CPB,2021,14100
CPB,2020,14500
CPB,2019,19000
CPB,2018,23000
CPB,2017,18000
CPB,2016,16500
CPB,2015,18600
CPB,2014,19400
CPB,2013,20000
COF,2023,51987
COF,2022,55943
COF,2021,50767
COF,2020,51985
COF,2019,51900
COF,2018,47600
COF,2017,49300
COF,2016,47300
COF,2015,45400
COF,2014,46000
COF,2013,41951
CAH,2023,48000
CAH,2022,46500
CAH,2021,47300
CAH,2020,30000
CAH,2019,31000
CAH,2018,32300
CAH,2017,28000
CAH,2016,26500
CAH,2015,24400
CAH,2014,23900
CAH,2013,24200
CCL,2023,92000
CCL,2022,67000
CCL,2021,30000
CCL,2020,92000
CCL,2019,92000
CCL,2018,88000
CCL,2017,86000
CCL,2016,84600
CCL,2015,82200
CCL,2014,10100
CCL,2013,9700
CELG,2018,8852
CELG,2017,7467
CELG,2016,7132
CELG,2015,6971
CELG,2014,6012
CELG,2013,5100
CNP,2023,0
CNP,2022,1635
CNP,2021,1274
CNP,2020,9541
CNP,2019,14262
CNP,2018,7977
CNP,2017,7977
CNP,2016,7727
CNP,2015,7505
CNP,2014,7427
CNP,2013,8591
CVX,2023,45600
CVX,2022,43846
CVX,2021,42595
CVX,2020,47736
CVX,2019,48200
CVX,2018,48600
CVX,2017,51900
CVX,2016,55200
CVX,2015,61500
CVX,2014,64700
CVX,2013,64600
CSCO,2023,84900
CSCO,2022,83300
CSCO,2021,79500
CSCO,2020,77500
CSCO,2019,75900
CSCO,2018,74200
CSCO,2017,72900
CSCO,2016,73700
CSCO,2015,70000
CSCO,2014,74042
CSCO,2013,75049
CIEN,2023,8483
CIEN,2022,8079
CIEN,2021,7241
CIEN,2020,7032
CIEN,2019,6383
CIEN,2018,6013
CIEN,2017,5737
CIEN,2016,5555
CIEN,2015,5345
CIEN,2014,5161
CIEN,2013,4754
CI,2023,72500
CI,2022,71300
CI,2021,73700
CI,2020,73700
CI,2019,73700
CI,2018,73800
C,2023,239000
C,2022,240000
C,2021,223400
C,2020,210000
C,2019,200000
C,2018,204000
C,2017,209000
C,2016,219000
C,2015,231000
C,2014,241000
C,2013,251000
CIT,2020,4500
CIT,2019,3609
CIT,2018,3678
CIT,2017,4167
CIT,2016,4410
CIT,2015,4900
CIT,2014,3360
CLX,2023,8700
CLX,2022,9000
CLX,2021,9000
CLX,2020,8800
CLX,2019,8800
CLX,2018,8700
CLX,2017,8100
CLX,2016,8000
CLX,2015,7700
CLX,2014,8200
CLX,2013,8400
CMS,2023,8356
CMS,2022,9122
CMS,2021,8504
CMS,2020,8837
CMS,2019,8789
CMS,2018,8625
CMS,2017,7952
CMS,2016,7804
CMS,2015,7804
CMS,2014,7859
CMS,2013,8075
CL,2023,34000
CL,2022,33800
CL,2021,33800
CL,2020,34200
CL,2019,34300
CL,2018,34500
CL,2017,35900
CL,2016,36700
CL,2015,37900
CL,2014,37700
CL,2013,37400
KO,2023,79100
KO,2022,82500
KO,2021,79000
KO,2020,80300
KO,2019,86200
KO,2018,62600
KO,2017,61800
KO,2016,100300
KO,2015,123200
KO,2014,129200
KO,2013,130600
CTSH,2023,347700
CTSH,2022,355300
CTSH,2021,330600
CTSH,2020,289500
CTSH,2019,292500
CTSH,2018,281600
CTSH,2017,260000
CTSH,2016,260200
CTSH,2015,221700
CTSH,2014,211500
CTSH,2013,133000
CMA,2022,7280
CMA,2021,7223
CMA,2020,7429
CMA,2019,7467
CMA,2018,7573
CMA,2017,7691
CMA,2016,7659
CMA,2015,8533
CMA,2014,8499
CMA,2013,8564
CPWR,2023,2
CPWR,2022,2
CPWR,2021,3
CPWR,2020,5
CPWR,2019,5
CPWR,2018,5
CPWR,2017,10
CPWR,2016,2000
CPWR,2015,6
CPWR,2014,0
CPWR,2013,2
CAG,2023,18600
CAG,2022,18000
CAG,2021,18600
CAG,2020,16500
CAG,2019,18000
CAG,2018,12400
CAG,2017,12600
CAG,2016,20900
CAG,2015,32900
CAG,2014,32800
CAG,2013,34840
COP,2023,9900
COP,2022,9500
COP,2021,9900
COP,2020,9700
COP,2019,10400
COP,2018,10800
COP,2017,11400
COP,2016,13300
COP,2015,15900
COP,2014,19100
COP,2013,18400
CNX,2023,470
CNX,2022,466
CNX,2021,441
CNX,2020,451
CNX,2019,467
CNX,2018,564
CNX,2017,561
CNX,2016,2307
CNX,2015,3114
CNX,2014,3834
CNX,2013,4633
ED,2023,14592
ED,2022,14319
ED,2021,13871
ED,2020,14071
ED,2019,50
ED,2018,0
ED,2017,0
ED,2016,0
ED,2015,0
ED,2014,48
ED,2013,0
STZ,2023,10700
STZ,2022,10000
STZ,2021,9300
STZ,2020,9000
STZ,2019,9800
STZ,2018,9600
STZ,2017,8700
STZ,2016,9000
STZ,2015,7200
STZ,2014,6300
STZ,2013,4500
CSX,2023,23000
CSX,2022,22500
CSX,2021,20900
CSX,2020,19300
CSX,2019,17000
CSX,2018,22500
CSX,2017,24000
CSX,2016,27000
CSX,2015,29000
CSX,2014,32000
CSX,2013,31000
CMI,2023,75500
CMI,2022,73600
CMI,2021,59900
CMI,2020,57825
CMI,2019,61615
CMI,2018,62610
CMI,2017,58600
CMI,2016,55400
CMI,2015,55200
CMI,2014,54600
CMI,2013,47900
CVS,2023,300000
CVS,2022,300000
CVS,2021,300000
CVS,2020,300000
CVS,2019,290000
CVS,2018,295000
CVS,2017,246000
CVS,2016,250000
CVS,2015,243000
CVS,2014,217800
CVS,2013,208000
DRI,2023,0
DRI,2022,0
DRI,2021,0
DRI,2020,177000
DRI,2019,185000
DRI,2018,180000
DRI,2017,175000
DRI,2016,150000
DRI,2015,150000
DRI,2014,206000
DRI,2013,206000
DE,2023,82956
DE,2022,82239
DE,2021,75550
DE,2020,69634
DE,2019,73489
DE,2018,74413
DE,2017,60476
DE,2016,56767
DE,2015,57180
DE,2014,59623
DE,2013,67000
DAL,2023,103000
DAL,2022,95000
DAL,2021,83000
DAL,2020,74000
DAL,2019,91000
DAL,2018,89000
DAL,2017,87000
DAL,2016,84000
DAL,2015,83000
DAL,2014,80000
DAL,2013,78000
DELL,2023,133000
DELL,2022,133000
DELL,2021,158000
DELL,2020,165000
DELL,2019,157000
DELL,2018,145000
DELL,2017,138000
DVN,2023,1900
DVN,2022,1800
DVN,2021,1600
DVN,2020,1400
DVN,2019,1800
DVN,2018,2900
DVN,2017,4900
DVN,2016,5000
DVN,2015,6600
DVN,2014,6600
DVN,2013,5900
DOW,2023,35900
DOW,2022,37800
DOW,2021,35700
DOW,2020,35700
DOW,2019,36500
DTE,2023,9950
DTE,2022,10250
DTE,2021,10300
DTE,2020,10600
DTE,2019,10700
DTE,2018,10600
DTE,2017,10200
DTE,2016,10000
DTE,2015,10000
DTE,2014,10000
DTE,2013,9900
DD,2023,24000
DD,2022,23000
DD,2021,28000
DD,2020,34000
DD,2019,35000
DD,2018,98000
DD,2017,98000
ECL,2023,48000
ECL,2022,47000
ECL,2021,47000
ECL,2020,44000
ECL,2019,50200
ECL,2018,49000
ECL,2017,48400
ECL,2016,47565
ECL,2015,47000
ECL,2014,47000
ECL,2013,45415
KODK,2023,4000
KODK,2022,4200
KODK,2021,4200
KODK,2020,4500
KODK,2019,4922
KODK,2018,5400
KODK,2017,5800
KODK,2016,6100
KODK,2015,6400
KODK,2014,7300
KODK,2013,8800
ETN,2023,94000
ETN,2022,92000
ETN,2021,86000
ETN,2020,92000
ETN,2019,101000
ETN,2018,99000
ETN,2017,96000
ETN,2016,95000
ETN,2015,97000
ETN,2014,102000
ETN,2013,102000
EBAY,2023,12300
EBAY,2022,11600
EBAY,2021,10800
EBAY,2020,12700
EBAY,2019,13300
EBAY,2018,14000
EBAY,2017,14100
EBAY,2016,12600
EBAY,2015,11600
EBAY,2014,34600
EBAY,2013,33500
LLY,2023,43000
LLY,2022,39000
LLY,2021,35000
LLY,2020,35000
LLY,2019,33625
LLY,2018,38680
LLY,2017,40655
LLY,2016,41975
LLY,2015,41275
LLY,2014,39135
LLY,2013,37925
ETR,2023,12177
ETR,2022,12000
ETR,2021,12369
ETR,2020,13400
ETR,2019,13635
ETR,2018,13688
ETR,2017,13504
ETR,2016,13513
ETR,2015,13579
ETR,2014,13000
ETR,2013,14000
EBS,2023,1600
EBS,2021,2416
EBS,2020,2200
EBS,2019,1834
EBS,2018,1705
EBS,2017,1256
EBS,2016,1098
EBS,2015,1292
EBS,2014,1280
EBS,2013,1353
EL,2023,62000
EL,2022,1250
EL,2021,1000
EL,2020,930
EL,2019,850
EL,2018,730
EL,2017,760
EL,2016,800
EL,2015,750
EL,2014,700
EL,2013,500
EXC,2023,19962
EXC,2022,19063
EXC,2021,31518
EXC,2020,32340
EXC,2019,0
EXC,2018,33383
EXC,2017,34621
EXC,2016,34396
EXC,2015,29762
EXC,2014,28993
EXC,2013,25829
XOM,2023,61500
XOM,2022,62300
XOM,2021,63000
XOM,2020,72000
XOM,2019,74900
XOM,2018,71000
XOM,2017,69600
XOM,2016,71100
XOM,2015,73500
XOM,2014,75300
XOM,2013,75000
FITB,2023,18724
FITB,2022,19319
FITB,2021,19112
FITB,2020,19872
FITB,2019,19869
FITB,2018,17437
FITB,2017,18125
FITB,2016,17844
FITB,2015,18261
FITB,2014,18351
FITB,2013,19446
FDX,2023,188000
FDX,2022,191000
FDX,2021,228000
FDX,2020,183000
FDX,2019,177000
FDX,2018,166000
FDX,2017,117000
FDX,2016,115000
FDX,2015,114000
FDX,2014,112000
FDX,2013,112000
FSLR,2023,6700
FSLR,2022,5500
FSLR,2021,4800
FSLR,2020,5100
FSLR,2019,6600
FSLR,2018,6400
FSLR,2017,4100
FSLR,2016,5400
FSLR,2015,6350
FSLR,2014,6060
FSLR,2013,4850
FLR,2023,20340
FLR,2022,19573
FLR,2021,19529
FLR,2020,24203
FLR,2019,27653
FLR,2018,32272
FLR,2017,31951
FLR,2016,61551
FLR,2015,43087
FLR,2014,43087
FLR,2013,43087
BEN,2023,9200
BEN,2022,9800
BEN,2021,10300
BEN,2020,11800
BEN,2019,9600
BEN,2018,9700
BEN,2017,9400
BEN,2016,9100
BEN,2015,9500
BEN,2014,9300
BEN,2013,9000
GPS,2023,95000
GPS,2022,97000
GPS,2021,117000
GPS,2020,129000
GPS,2019,135000
GPS,2018,135000
GPS,2017,135000
GPS,2016,141000
GPS,2015,141000
GPS,2014,137000
GPS,2013,136000
GIS,2023,34000
GIS,2022,32500
GIS,2021,35000
GIS,2020,35000
GIS,2019,40000
GIS,2018,40000
GIS,2017,38000
GIS,2016,39000
GIS,2015,42000
GIS,2014,43000
GIS,2013,41000
GM,2023,76000
GM,2022,81000
GM,2021,74000
GM,2020,68000
GM,2019,95000
GM,2018,76000
GM,2017,77000
GM,2016,90000
GM,2015,85000
GM,2014,80000
GM,2013,77000
GE,2023,125000
GE,2022,172000
GE,2021,168000
GE,2020,174000
GE,2019,205000
GE,2018,283000
GE,2017,313000
GE,2016,295000
GE,2015,333000
GE,2015,305000
GE,2013,307000
GNW,2023,2700
GNW,2022,2500
GNW,2021,2500
GNW,2020,3000
GNW,2019,3100
GNW,2018,3500
GNW,2017,3500
GNW,2016,3400
GNW,2015,4100
GNW,2014,5300
GNW,2013,5000
GS,2023,45300
GS,2022,48500
GS,2021,43900
GOOG,2023,182502
GOOG,2022,190234
GOOG,2021,156500
GOOG,2020,135301
GOOG,2019,118899
GOOG,2018,98771
GOOG,2017,80110
GOOG,2016,72053
GOOG,2015,61814
GT,2023,71000
GT,2022,74000
GT,2021,72000
GT,2020,62000
GT,2019,63000
GT,2018,64000
GT,2017,64000
GT,2016,66000
GT,2015,66000
GT,2014,67000
GT,2013,69000
HAL,2023,48000
HAL,2022,45000
HAL,2021,40000
HAL,2020,40000
HAL,2019,55000
HAL,2018,60000
HAL,2017,55000
HAL,2016,50000
HAL,2015,65000
HAL,2014,80000
HAL,2013,77000
HIG,2022,18800
HIG,2021,18100
HIG,2020,18500
HIG,2019,19500
HIG,2018,18500
HIG,2017,16400
HIG,2016,16900
HIG,2015,17400
HIG,2014,17500
HIG,2013,18800
HAS,2022,6490
HAS,2021,6640
HAS,2020,6822
HAS,2019,5600
HAS,2018,5800
HAS,2017,5400
HAS,2016,5400
HAS,2015,5000
HAS,2014,5200
HAS,2013,5000
HES,2023,1756
HES,2022,1623
HES,2021,1545
HES,2020,1621
HES,2019,1775
HES,2018,1708
HES,2017,2075
HES,2016,2304
HES,2015,2770
HES,2014,0
HES,2013,0
HD,2023,471600
HD,2022,490600
HD,2021,504800
HD,2020,415700
HD,2019,413000
HD,2018,413000
HD,2017,406000
HD,2016,385000
HD,2015,371000
HD,2014,365000
HD,2013,340000
HST,2023,163
HST,2022,165
HST,2021,160
HST,2020,163
HST,2019,175
HST,2018,184
HST,2017,205
HST,2016,220
HST,2015,240
HST,2014,251
HST,2013,242
HUM,2023,67600
HUM,2022,67100
HUM,2021,95500
HUM,2020,48700
HUM,2019,46000
HUM,2018,41600
HUM,2017,45900
HUM,2016,51600
HUM,2015,50100
HUM,2014,57000
HUM,2013,52000
IR,2023,18000
IR,2022,17000
IR,2021,16000
IR,2020,15900
IR,2019,6600
IR,2018,6700
IR,2017,6400
IBM,2023,282200
IBM,2021,282100
IBM,2020,345900
IBM,2019,352600
IBM,2018,350600
IBM,2017,366600
IBM,2016,380300
IBM,2015,377757
IBM,2014,379592
IBM,2013,431212
INTC,2023,124800
INTC,2021,121100
INTC,2020,110600
INTC,2019,110800
INTC,2018,50000
INTC,2017,102700
INTC,2016,106000
INTC,2015,107300
INTC,2014,106700
INTC,2013,107600
IVZ,2023,8500
IVZ,2022,8611
IVZ,2021,8513
IVZ,2020,8512
IVZ,2019,8821
IVZ,2018,7459
IVZ,2017,7030
IVZ,2016,6790
IVZ,2015,6490
IVZ,2014,6264
IVZ,2013,5932
IFF,2023,21500
IFF,2022,24600
IFF,2021,24000
IFF,2020,13700
IFF,2019,13600
IFF,2018,13000
IFF,2017,7300
IFF,2016,6900
IFF,2015,6700
IFF,2014,6200
IFF,2013,6000
IP,2023,39000
IP,2022,39000
IP,2021,38200
IP,2020,49300
IP,2019,51000
IP,2018,53000
IP,2017,56000
IP,2016,55000
IP,2015,56000
IP,2014,58000
IP,2013,69000
INTU,2023,18200
INTU,2022,17300
INTU,2021,13500
INTU,2020,10600
INTU,2019,9400
INTU,2018,8900
INTU,2017,8200
INTU,2016,7900
INTU,2015,985
INTU,2014,8000
INTU,2013,8000
JBL,2023,95000
JBL,2022,82000
JBL,2021,238000
JBL,2020,240000
JBL,2019,200000
JBL,2018,199000
JBL,2017,170000
JBL,2016,138000
JBL,2015,161000
JBL,2014,142000
JBL,2013,177000
VIAV,2023,3600
VIAV,2022,3600
VIAV,2021,3600
VIAV,2020,3600
VIAV,2019,3600
VIAV,2018,3500
VIAV,2017,2700
VIAV,2016,3000
VIAV,2015,4900
VIAV,2014,5100
VIAV,2013,4900
JNJ,2023,131900
JNJ,2023,152700
JNJ,2022,141700
JNJ,2021,134500
JNJ,2019,132200
JNJ,2018,135100
JNJ,2017,134000
JNJ,2017,126400
JNJ,2016,127100
JNJ,2014,126500
JNJ,2013,128100
JLL,2023,106
JLL,2022,103
JLL,2021,98
JLL,2020,93
JLL,2019,93
JLL,2018,90000
JLL,2017,82000
JLL,2016,77000
JLL,2015,60000
JLL,2014,58100
JLL,2013,52700
JPM,2023,309926
JPM,2022,293723
JPM,2021,271025
JNPR,2023,11144
JNPR,2022,10901
JNPR,2021,10191
JNPR,2020,9950
JNPR,2019,9419
JNPR,2018,9283
JNPR,2017,9381
JNPR,2016,9832
JNPR,2015,9058
JNPR,2014,8806
JNPR,2013,9483
K,2023,23000
K,2022,30000
K,2022,31000
K,2021,31000
K,2019,31000
K,2018,34000
K,2017,33000
K,2016,37369
K,2016,33577
K,2015,29790
K,2013,30277
KEY,2023,17333
KEY,2022,18891
KEY,2021,17654
KEY,2020,16826
KEY,2019,17045
KEY,2018,18180
KEY,2017,18415
KEY,2016,15700
KEY,2015,13483
KEY,2014,13853
KEY,2013,14783
KIM,2023,660
KIM,2022,639
KIM,2021,606
KIM,2020,484
KIM,2019,502
KIM,2018,533
KIM,2017,546
KIM,2016,551
KIM,2015,546
KIM,2014,580
KIM,2013,597
KMB,2023,41000
KMB,2022,44000
KMB,2021,45000
KMB,2020,46000
KMB,2019,40000
KMB,2018,41000
KMB,2017,42000
KMB,2016,42000
KMB,2015,43000
KMB,2014,43000
KMB,2013,57000
KSS,2023,2022
KSS,2022,2021
KSS,2021,2020
KSS,2020,2019
KSS,2019,0
KSS,2018,0
KSS,2017,138000
KSS,2016,140000
KSS,2015,137000
KSS,2014,137000
KSS,2013,135000
LVS,2023,38700
LVS,2022,35700
LVS,2021,44700
LVS,2020,46000
LVS,2019,50000
LVS,2018,51500
LVS,2017,50500
LVS,2016,49000
LVS,2015,46500
LVS,2014,48500
LVS,2013,48500
LEVI,2023,19100
LEVI,2022,18000
LEVI,2021,16600
LEVI,2020,14800
LEVI,2019,15800
LEVI,2018,15100
LEVI,2017,13800
LEVI,2016,13200
LEVI,2015,12500
LEVI,2014,15000
LEVI,2013,16000
LMT,2023,122000
LMT,2022,116000
LMT,2021,114000
LMT,2020,114000
LMT,2019,110000
LMT,2018,105000
LMT,2017,100000
LMT,2016,97000
LMT,2015,126000
LMT,2014,112000
LMT,2013,115000
LOW,2023,182000
LOW,2022,200000
LOW,2021,220000
LOW,2020,200000
LOW,2019,190000
LOW,2018,200000
LOW,2017,190000
LOW,2016,180000
LOW,2015,175000
LOW,2014,167000
LOW,2013,160000
LSI,2022,2508
LSI,2021,2241
LSI,2020,2078
LSI,2019,1943
LSI,2018,1953
LSI,2017,1792
LSI,2016,1537
LSI,2015,1429
LSI,2014,1378
LSI,2013,1268
MAR,2023,148000
MAR,2022,140000
MAR,2021,120000
MAR,2020,121000
MAR,2019,174000
MAR,2018,176000
MAR,2017,177000
MAR,2016,226500
MAR,2015,127500
MAR,2014,123500
MAR,2013,123000
MMC,2023,18000
MMC,2021,48800
MMC,2020,44100
MMC,2019,76000
MMC,2018,65000
MMC,2017,65000
MMC,2016,32600
MMC,2015,32600
MMC,2014,30800
MMC,2013,29000
MRVL,2023,7448
MRVL,2022,6729
MAS,2023,18000
MAS,2022,19000
MAS,2021,20000
MAS,2020,18000
MAS,2019,18000
MAS,2018,26000
MAS,2017,26000
MAS,2016,26000
MAS,2015,25000
MAS,2014,32000
MAS,2013,32000
MAT,2023,33000
MAT,2022,33900
MAT,2021,36300
MAT,2020,32100
MAT,2019,24000
MAT,2018,27000
MAT,2017,28000
MAT,2016,32000
MAT,2015,31000
MAT,2014,31000
MAT,2013,29000
SPGI,2023,40450
SPGI,2022,39950
SPGI,2021,22850
SPGI,2020,23000
SPGI,2019,22500
SPGI,2018,21200
SPGI,2017,20400
SPGI,2016,20000
SPGI,2015,20400
SPGI,2014,17000
SPGI,2013,17000
MDT,2023,0
MDT,2022,2014
MDT,2021,0
MDT,2020,90000
MDT,2019,90000
MDT,2018,86000
MDT,2017,91000
MDT,2016,88000
MDT,2015,92000
MRK,2023,72000
MRK,2022,69000
MRK,2021,68000
MRK,2020,74000
MRK,2019,71000
MRK,2018,69000
MRK,2017,69000
MRK,2016,68000
MRK,2015,68000
MRK,2014,70000
MRK,2013,76000
MSFT,2023,221000
MSFT,2022,221000
MSFT,2021,181000
MSFT,2020,163000
MSFT,2019,144000
MSFT,2018,131000
MSFT,2017,124000
MSFT,2016,114000
MSFT,2015,118000
MSFT,2014,128000
MSFT,2013,99000
MON,2021,5
MON,2020,5
TAP,2023,16500
TAP,2022,16600
TAP,2021,16300
TAP,2020,17000
TAP,2019,17700
TAP,2018,17750
TAP,2017,17200
TAP,2016,17400
TAP,2015,9100
TAP,2014,9100
TAP,2013,9250
MOS,2023,14049
MOS,2022,13570
MOS,2021,12525
MOS,2020,12617
MOS,2019,12600
MOS,2018,12900
MOS,2017,8500
MOS,2016,8700
MOS,2015,8900
MOS,2014,9100
MOS,2013,8400
MS,2023,80000
MS,2022,82000
MS,2021,75000
MGPI,2023,705
MGPI,2022,690
MGPI,2021,672
MGPI,2020,360
MGPI,2019,341
MGPI,2018,332
MGPI,2017,317
MGPI,2016,311
MGPI,2015,293
MGPI,2014,268
MGPI,2013,267
NDAQ,2023,8525
NDAQ,2022,6377
NDAQ,2021,5814
NDAQ,2020,4830
NDAQ,2019,4361
NDAQ,2018,4099
NDAQ,2017,4734
NDAQ,2016,4325
NDAQ,2015,3824
NDAQ,2014,3687
NDAQ,2013,3365
NTAP,2023,12000
NTAP,2022,12000
NTAP,2021,11000
NTAP,2020,10800
NTAP,2019,10500
NTAP,2018,10300
NTAP,2017,10100
NTAP,2016,12030
NTAP,2015,12810
NTAP,2014,12490
NTAP,2013,13060
NEM,2023,21700
NEM,2022,14600
NEM,2021,14400
NEM,2020,14300
NEM,2019,16600
NEM,2018,12400
NEM,2017,12547
NEM,2016,12400
NEM,2015,15600
NEM,2014,13700
NEM,2013,15085
FOX,2023,10400
FOX,2022,10600
FOX,2021,9000
FOX,2020,9000
FOX,2019,7700
NI,2023,7364
NI,2022,7117
NI,2021,7272
NI,2020,7301
NI,2019,8363
NI,2018,8087
NI,2017,8175
NI,2016,8007
NI,2015,7596
NI,2014,8982
NI,2013,8477
NSC,2023,20300
NSC,2022,18900
NSC,2021,18500
NSC,2020,20200
NSC,2019,0
NSC,2018,0
NSC,2017,0
NSC,2016,0
NSC,2015,0
NSC,2014,0
NSC,2013,0
ES,2023,10171
ES,2022,9626
ES,2021,9227
ES,2020,9299
ES,2019,8234
ES,2018,7998
ES,2017,8084
ES,2016,7762
ES,2015,7943
ES,2014,8248
ES,2013,8697
NTRS,2023,23100
NTRS,2022,23600
NTRS,2021,21100
NTRS,2020,20900
NTRS,2019,19800
NTRS,2018,18800
NTRS,2017,18100
NTRS,2016,17100
NTRS,2015,16200
NTRS,2014,15400
NTRS,2013,14800
NOC,2023,101000
NOC,2022,95000
NOC,2021,88000
NOC,2020,97000
NOC,2019,90000
NOC,2018,85000
NOC,2017,70000
NOC,2016,67000
NOC,2015,65000
NOC,2014,64300
NOC,2013,65300
NRG,2023,18131
NRG,2022,6603
NRG,2021,6635
NRG,2020,4104
NRG,2019,4577
NRG,2018,4862
NRG,2017,5940
NRG,2016,0
NRG,2015,10468
NRG,2014,9806
NRG,2013,7786
NVDA,2023,26196
NVDA,2022,22473
NVDA,2021,18975
NVDA,2020,13775
NVDA,2019,13277
NVDA,2018,11528
NVDA,2017,10299
NVDA,2016,9227
NVDA,2015,9228
NVDA,2014,8808
NVDA,2013,7974
POST,2023,11430
POST,2022,10420
POST,2021,10735
POST,2020,10200
POST,2019,10100
POST,2018,11550
POST,2017,11410
POST,2016,8700
POST,2015,8500
